

    0.148410157391741949E-01    0.103044982604254081E+06    0.488472584077859935E+02    0.417618165463160759E-01   -0.256107142602301119E+01   -0.500246381149513919E+00
    0.141943915416786748E-01    0.103044928842624620E+06    0.492473243557720863E+02    0.433455869606024641E-01   -0.255486816060084099E+01   -0.500631001224175698E+00
    0.138907270861575796E-01    0.103044829236328413E+06    0.491400452704275779E+02    0.440590235951772435E-01   -0.255597602896378540E+01   -0.500493065820494465E+00
    0.137347824285059521E-01    0.103044708959230848E+06    0.488812952004659209E+02    0.443443537057811102E-01   -0.255751502432008948E+01   -0.500266355422950948E+00
    0.143264170271678089E-01    0.103044481754690350E+06    0.490765435041377955E+02    0.454312532855575893E-01   -0.255469783250488280E+01   -0.500389120220194439E+00
    0.146200582655604469E-01    0.103044298319023364E+06    0.492380914864546213E+02    0.403945625743774434E-01   -0.255815944342828328E+01   -0.500631021393432185E+00
    0.148605665607244586E-01    0.103044122828429550E+06    0.494565780093238274E+02    0.451182871556577367E-01   -0.255043662792432624E+01   -0.500679881923278280E+00
    0.140564688981995208E-01    0.103044091228197707E+06    0.493120959759380000E+02    0.404658648239604110E-01   -0.255713866328487471E+01   -0.500683338311255000E+00
    0.144149623574174601E-01    0.103043898003034614E+06    0.489359824895014270E+02    0.425474427445263342E-01   -0.255824829822855637E+01   -0.500330149672077340E+00
    0.144149329662858604E-01    0.103043755149969627E+06    0.492632027548730207E+02    0.415411192183691227E-01   -0.255653419716528507E+01   -0.500594233306247638E+00
    0.156631317258232004E-01    0.103043446202882245E+06    0.490439274373399243E+02    0.395516875839247856E-01   -0.255980521720548149E+01   -0.500485827251886395E+00
    0.239985953704053151E-01    0.103042449974440708E+06    0.490215246401109965E+02    0.387990668428668806E-01   -0.255965191115299806E+01   -0.500477783007545085E+00
    0.223643403577030719E-01    0.103042448172418561E+06    0.489886001355993628E+02    0.431702967524319053E-01   -0.255628550730438509E+01   -0.500290564637125179E+00
    0.230730784866859280E-01    0.103042242917750991E+06    0.496235566451705878E+02    0.435817178757418738E-01   -0.254881152784698894E+01   -0.500719275036447087E+00
