    0.264395875519724726E+02    0.300080256699369642E-01   -0.172850345099758940E+01   -0.509413238173170413E+00   -0.553231788413405811E+05
    0.318668515175049265E+02    0.234677032039205813E-01   -0.174917534103944039E+01   -0.503990046340588638E+00   -0.553223483363101113E+05
    0.274671152368017673E+02    0.159048754600534629E-01   -0.180638013225869010E+01   -0.506617039107193357E+00   -0.553213261180993286E+05
    0.313762302444315537E+02    0.152771639498827244E-01   -0.175952569668759562E+01   -0.505354536944992105E+00   -0.553209118025429198E+05
    0.260257615113568264E+02    0.216592258156895617E-01   -0.181035192590371952E+01   -0.505834694395284057E+00   -0.553207190498155469E+05
    0.294402780046331856E+02    0.265082232558886306E-01   -0.173792249194455439E+01   -0.505237557090730594E+00   -0.553206908153232580E+05
    0.268305576628571600E+02    0.162613949438818114E-01   -0.179505104827395034E+01   -0.507379984146981933E+00   -0.553202417327731964E+05
    0.267031535916046323E+02    0.398645157561907382E-01   -0.173732876528482105E+01   -0.504057937777084852E+00   -0.553199300968604148E+05
    0.275825767104426660E+02    0.289509283517115721E-02   -0.168511672630424414E+01   -0.502609236809145266E+00   -0.553198649184931492E+05
    0.307159913332099315E+02    0.129570539149946630E-01   -0.176974214364624793E+01   -0.505015851996297727E+00   -0.553196675953749946E+05
    0.308057010994316158E+02    0.182781344935966823E-01   -0.174996423780217825E+01   -0.505107764906785217E+00   -0.553195012101223110E+05
    0.276248006327918887E+02    0.140410005522695874E-01   -0.181646426800860561E+01   -0.504491505405179286E+00   -0.553194557101364553E+05
    0.294354962905004989E+02    0.311670295875648914E-01   -0.177139931829960440E+01   -0.501871623274565248E+00   -0.553194294273780324E+05
    0.282622576973882502E+02    0.275663529281479705E-02   -0.180895698943067251E+01   -0.507116520097040002E+00   -0.553194214281128807E+05
    0.271137487867804623E+02    0.110077153214609182E-01   -0.169419449140329714E+01   -0.503700101426137081E+00   -0.553193588170197472E+05
    0.275745441596153213E+02    0.328002503560030009E-01   -0.174379416107181617E+01   -0.504481242618819437E+00   -0.553191523879272208E+05
    0.267512035304999536E+02    0.180671083324728393E-01   -0.169781825125852226E+01   -0.503289625220141090E+00   -0.553191522952679807E+05
    0.263950223664003261E+02    0.220772436714015211E-01   -0.169757701087658130E+01   -0.502572193763362485E+00   -0.553188521241668204E+05
    0.280768172927040212E+02    0.267608422524909240E-01   -0.173481577605658122E+01   -0.505298335997907522E+00   -0.553187532433037850E+05
    0.275926925987568907E+02    0.228511653839082174E-01   -0.176115687148729894E+01   -0.505400305697464525E+00   -0.553187411726756472E+05
    0.311414684257206815E+02    0.783439334522592450E-02   -0.175951845678048668E+01   -0.505812325740185642E+00   -0.553186845145684492E+05
    0.259706758142267908E+02    0.363498249147735791E-01   -0.175919745297729047E+01   -0.503420872304763733E+00   -0.553186842554320174E+05
    0.259347701380890818E+02    0.134390389163618566E-01   -0.179524456202303084E+01   -0.506908364981527804E+00   -0.553186167947341237E+05
    0.270657309687966716E+02    0.233253141765667818E-01   -0.173269218528536628E+01   -0.506822543590785823E+00   -0.553185805473490109E+05
    0.245481869078218011E+02    0.376618528632232108E-01   -0.177265890122648351E+01   -0.503962280335406465E+00   -0.553184268842067977E+05
    0.245570787230326602E+02    0.472011378297363116E-01   -0.175373644034696552E+01   -0.502114278107057999E+00   -0.553183598430134589E+05
    0.270810023479053896E+02    0.182150854262886457E-01   -0.170884082136020354E+01   -0.503460834277205560E+00   -0.553182622101866800E+05
    0.288439317494970027E+02    0.311897726681261978E-01   -0.173074718298680530E+01   -0.501330921629736803E+00   -0.553182288377893055E+05
    0.265073517421942313E+02    0.183835188115869970E-01   -0.170666457968750152E+01   -0.504357429555242653E+00   -0.553182250048359710E+05
    0.260433139031002163E+02    0.209864799266189367E-01   -0.180417618744246711E+01   -0.504315140862922728E+00   -0.553181970977268647E+05
    0.289134741053623969E+02    0.160409488387560153E-01   -0.177538463902283938E+01   -0.504810874204501658E+00   -0.553181466443254976E+05
    0.286772265980962189E+02    0.352881885171835025E-01   -0.174665792670755371E+01   -0.502281099951870758E+00   -0.553181383165892476E+05
    0.241850522642049306E+02    0.175004030206376247E-01   -0.176891432011873762E+01   -0.509753948003723867E+00   -0.553181152303615891E+05
