KNphi inclination_EM log10_mej_dyn log10_mej_wind luminosity_distance KNtimeshift Ebv log_likelihood log_prior
54.567047589922 0.006123667465444358 -1.8111967831975178 -0.5006573077625984 40.0 0.0 0.0 -153943.17666814532 -11.492530007990204
54.60380327583668 0.014121468528689871 -1.8168120741298321 -0.5000015821950159 40.0 0.0 0.0 -153940.11182725392 -10.657021940292708
54.94589096745099 0.0035694767485989175 -1.8127577375104837 -0.5005355472615518 40.0 0.0 0.0 -153939.58582057303 -12.032268041697211
56.021904197910004 0.004468429449265776 -1.8163747622342516 -0.5001075298175888 40.0 0.0 0.0 -153939.3405518989 -11.807651268756278
54.53765736428686 0.004690302246913733 -1.8066791178573063 -0.5003776280570849 40.0 0.0 0.0 -153939.1723732588 -11.759191575337521
55.11957082557455 0.005645449145740408 -1.8142533992346594 -0.500368352872643 40.0 0.0 0.0 -153938.92287908104 -11.573840486383766
53.502162269929954 0.006554545204876061 -1.804345637590198 -0.5002451594308948 40.0 0.0 0.0 -153938.67554019336 -11.424533361150843
55.45010424995624 0.009212311824820798 -1.819118024061939 -0.5001579937722376 40.0 0.0 0.0 -153938.65097326753 -11.084158247450663
54.80490225176163 0.00851642394558455 -1.8163669790183985 -0.5002739009376289 40.0 0.0 0.0 -153938.5699880769 -11.162700494438134
54.3420958631518 0.0009899674277274292 -1.8185135595676176 -0.5003775847783958 40.0 0.0 0.0 -153938.44585715706 -13.314768335217725
53.440406982689275 0.009352174311759711 -1.8064725877815395 -0.5001267014046014 40.0 0.0 0.0 -153938.4446736802 -11.069090648456772
54.381165444245205 0.004744280468226221 -1.812907024470034 -0.5004755766001003 40.0 0.0 0.0 -153938.29156140095 -11.747748904998382
53.52970687307395 0.011642654231343665 -1.8080304201272126 -0.5000125706760206 40.0 0.0 0.0 -153938.2198496712 -10.850032083143073
52.976223029525556 0.007210732411911555 -1.8032610572585552 -0.5000805538865909 40.0 0.0 0.0 -153938.1877070786 -11.329123071063215
55.63184912380877 0.0056166759187944336 -1.812448527090839 -0.5000830937169018 40.0 0.0 0.0 -153938.17065626036 -11.578950176653201
54.69082282840379 0.003572132804781973 -1.818193531200781 -0.5005437641928587 40.0 0.0 0.0 -153938.15476448173 -12.031524219174617
54.95003130020089 0.006196436828875162 -1.822786636633615 -0.5002531730967568 40.0 0.0 0.0 -153938.13353443542 -11.480716911686688
54.78634987660639 0.006256143411728885 -1.8054931098617275 -0.5000063708852913 40.0 0.0 0.0 -153938.06892445372 -11.471127530578556
54.167958922532556 0.008547280192354408 -1.8164012930118236 -0.5000065600016597 40.0 0.0 0.0 -153937.8952976229 -11.159083984042923
