luminosity_distance KNphi inclination_EM log10_mej_dyn log10_mej_wind KNtimeshift Ebv log_likelihood log_prior
1.601408318518084e-05 55.63748054669958 1.2603094995648998 -1.2297110971269727 -0.8319485014242263 0.0 0.0 0.0 -11.051095833056568
8.445607725547304e-06 57.96827050333975 1.1539158142185473 -1.019417204950185 -1.1266210519739244 0.0 0.0 0.0 -11.091634581965462
1.8808991295749435e-05 57.15100358530082 1.2012578973933565 -1.273463818178975 -1.1497998619427574 0.0 0.0 0.0 -11.07199223427893
1.4830356737713887e-05 57.46770292955518 1.067716161862066 -1.1408558715828434 -1.153889450455153 0.0 0.0 0.0 -11.134372949798706
1.790076229377903e-05 61.05463650539241 1.2750241149551775 -1.1812889239282434 -1.2469541307633096 0.0 0.0 0.0 -11.046493472773935
1.3291849334041257e-05 54.686175458932794 1.3309485611708618 -1.3112014820731817 -1.066861664789653 0.0 0.0 0.0 -11.031143401595081
1.1456691783175063e-05 50.75720064684641 1.2461652011149194 -1.3175880464035865 -1.1316200704703498 0.0 0.0 0.0 -11.055744902248605
1.3053390489167211e-05 51.99561735987261 1.2613056092513573 -1.4385035125459757 -1.0515206615965744 0.0 0.0 0.0 -11.050776764028303
1.7632083716192348e-05 49.83004469607435 1.2889120437167052 -1.2313267653830517 -1.1012752678050441 0.0 0.0 0.0 -11.042366781230445
1.9486016028171252e-05 58.75434555930164 1.1843278166056792 -1.2079038830654034 -0.9904456989585122 0.0 0.0 0.0 -11.078715347232809
2.5693380319056185e-05 58.38001915992539 1.2481311083943263 -1.2034415124441402 -1.2344206864162608 0.0 0.0 0.0 -11.055085451912483
2.482740020925814e-05 62.268839132907786 1.0309826558233162 -1.0921976443121457 -1.3170901403895292 0.0 0.0 0.0 -11.155478943018181
3.1930099841425344e-05 58.70826314896252 1.1405076813806385 -1.1022850553386419 -1.3586086697859745 0.0 0.0 0.0 -11.09768013512424
2.8496770768461225e-05 63.37450459904612 1.1111360655849771 -1.1375316429448565 -1.0604943858326457 0.0 0.0 0.0 -11.111687866643656
1.976448110796549e-05 63.891654067643714 1.1718293681810317 -1.0625129595249805 -1.230320387346356 0.0 0.0 0.0 -11.083892726171754
2.0623223474546413e-05 65.68044416263294 1.2741296033980396 -1.1356333073724125 -1.3852065687426118 0.0 0.0 0.0 -11.046766476630715
2.216300242116836e-05 55.99664704716703 1.2637089192877637 -1.1374439418063598 -1.3446268462597417 0.0 0.0 0.0 -11.050011448671082
2.8284571050973678e-05 53.39556650441077 1.210060918457975 -1.195716872512589 -1.0580594044422105 0.0 0.0 0.0 -11.068626999474688
4.15599922839367e-05 62.59570908098473 1.3634047751118026 -1.3478371241435714 -1.2284153098476858 0.0 0.0 0.0 -11.023761424693014
3.8098290384033124e-05 58.6998553875495 1.1375302793314188 -1.037452235639811 -1.1554409467673061 0.0 0.0 0.0 -11.099052045692051
3.613005168009864e-05 60.54677774651604 1.207179795600708 -1.274370709426117 -1.3260674060206892 0.0 0.0 0.0 -11.069718626532008
4.2647590401181544e-05 60.50491305624264 1.1971198444099524 -1.0042395439207767 -1.1696013735935908 0.0 0.0 0.0 -11.073604892434162
3.583138715332687e-05 58.263808966485065 1.226837079153527 -1.2031414435964551 -1.158974329116363 0.0 0.0 0.0 -11.06245839394147
3.902837693945015e-05 53.370138612157845 1.237720647576351 -1.1966077996026296 -1.2084727888967648 0.0 0.0 0.0 -11.058626576704157
3.710755628127867e-05 50.45996017170477 1.2339768503197919 -1.3824656762283825 -1.123088803887848 0.0 0.0 0.0 -11.059929653247234
4.3455615002881944e-05 50.84079411708777 1.2180001349757903 -1.208867321552587 -0.9805892898026727 0.0 0.0 0.0 -11.065667917403793
4.273826998596209e-05 55.71972063476339 1.3725941159557424 -1.3413094229143305 -1.3735847161463712 0.0 0.0 0.0 -11.02187186637179
4.196224076312659e-05 62.81645679261451 1.3427607150685994 -1.3846881720460293 -1.357425468996047 0.0 0.0 0.0 -11.028328471564343
4.148612280719323e-05 64.90485382778787 1.2958337196306609 -1.2668605202910945 -1.2345556829934523 0.0 0.0 0.0 -11.040388224212343
4.076236007608816e-05 54.33231761156153 1.2755417425372084 -1.2873632394995853 -1.1524544450285685 0.0 0.0 0.0 -11.046335892901293
4.3058116029320355e-05 57.06412799005919 1.3092208031019974 -1.2141318379970667 -1.3105636514017838 0.0 0.0 0.0 -11.036708115950837
7.671100288086551e-06 53.296923053166566 1.3893809497489453 -1.1506805014098784 -1.1196221712729262 0.0 0.0 0.0 -11.01864667503052
9.397808734666756e-06 44.147149950825636 1.3605448483871787 -1.3721709790050203 -1.0566193826236576 0.0 0.0 0.0 -11.02436747428468
3.1024721165002276e-06 54.5586543245042 1.297572817687068 -1.0303448902838068 -1.9666521189628061 0.0 0.0 0.0 -11.039899242358665
1.7074485369222762e-05 50.53172594590827 1.3683858181014827 -1.0875361688594338 -1.878402963102901 0.0 0.0 0.0 -11.022726274205898
